date,mortality,pm10,temp,dewpt,season
1992-01-01,229,32.2488331529,36.25,24.4375,winter
1992-01-02,263,NA,43,39.5,winter
1992-01-03,253,NA,45,37.1875,winter
1992-01-04,232,NA,44.25,41.5625,winter
1992-01-05,238,NA,46.5,31.5625,winter
1992-01-06,182,NA,42.25,27.1875,winter
1992-01-07,241,16.484284922,42.25,25.8125,winter
1992-01-08,208,NA,39,18,winter
1992-01-09,234,NA,38,40.625,winter
1992-01-10,257,NA,41.5,22.75,winter
1992-01-11,205,NA,35,23.3125,winter
1992-01-12,220,NA,36,31.125,winter
1992-01-13,233,34.382542916,47.75,38.875,winter
1992-01-14,239,NA,47.25,28.375,winter
1992-01-15,208,NA,29.25,4.4375,winter
1992-01-16,222,NA,23.25,-1.75,winter
1992-01-17,233,NA,24.75,15.125,winter
1992-01-18,227,NA,25,0.8125,winter
1992-01-19,218,15.942711783000002,17.25,-1.375,winter
1992-01-20,231,NA,23.5,15.5,winter
1992-01-21,220,NA,31.5,20.0625,winter
1992-01-22,219,NA,35.75,20.3125,winter
1992-01-23,255,NA,45.5,50.5,winter
1992-01-24,236,NA,37.75,11.75,winter
1992-01-25,203,17.555932684000002,25,7.0625,winter
1992-01-26,202,NA,25.5,9.6875,winter
1992-01-27,230,NA,29.5,24.25,winter
1992-01-28,208,NA,34.25,27.8125,winter
1992-01-29,191,NA,37.25,29.5625,winter
1992-01-30,193,NA,37.25,30.3125,winter
1992-01-31,214,36.670428818299996,42.75,27.3125,winter
1992-02-01,207,NA,30.75,11.125,winter
1992-02-02,190,NA,31,9.8125,winter
1992-02-03,210,NA,33.25,4.5625,winter
1992-02-04,204,NA,34.5,25.9375,winter
1992-02-05,223,NA,32.5,11.375,winter
1992-02-06,197,24.147772495999998,28.75,16.625,winter
1992-02-07,209,NA,31.75,26.5625,winter
1992-02-08,197,NA,34.25,31.5625,winter
1992-02-09,187,NA,26.25,2.5,winter
1992-02-10,211,NA,22,14.9375,winter
1992-02-11,208,NA,37.75,24.1875,winter
1992-02-12,184,18.139088667,22.75,-2.25,winter
1992-02-13,212,NA,26.5,28.8125,winter
1992-02-14,198,NA,39.75,28.6875,winter
1992-02-15,210,NA,40,45.25,winter
1992-02-16,205,NA,46.5,29.625,winter
1992-02-17,193,NA,43.75,31.3125,winter
1992-02-18,185,29.708107986199998,40.75,41.1875,winter
1992-02-19,204,NA,45.75,42.9375,winter
1992-02-20,193,NA,43.75,25.6875,winter
1992-02-21,178,NA,43.25,21.9375,winter
1992-02-22,208,NA,38,37.75,winter
1992-02-23,181,NA,49.75,37.4375,winter
1992-02-24,184,26.515489196,38.75,31.5625,winter
1992-02-25,187,NA,36.25,36,winter
1992-02-26,191,NA,38.25,25.6875,winter
1992-02-27,175,NA,41.25,28.125,winter
1992-02-28,214,NA,42.75,37.875,winter
1992-02-29,194,NA,34.25,-2.1875,winter
1992-03-01,195,19.554103186,36.75,27,winter
1992-03-02,212,NA,42,27.8125,winter
1992-03-03,185,NA,36.5,31.375,winter
1992-03-04,205,NA,40.75,33.4375,winter
1992-03-05,189,NA,45.25,40.6875,winter
1992-03-06,190,NA,43,30,winter
1992-03-07,183,26.899991115000002,44.5,47,winter
1992-03-08,171,NA,51.5,44,winter
1992-03-09,197,NA,51.25,42.125,winter
1992-03-10,194,NA,47,49.8125,winter
1992-03-11,229,NA,40,13.5,winter
1992-03-12,214,NA,32.25,9.625,winter
1992-03-13,174,17.179681043,30.75,8.0625,winter
1992-03-14,201,NA,32,6.3125,winter
1992-03-15,155,NA,28.75,1.375,winter
1992-03-16,218,NA,27.25,3.0625,winter
1992-03-17,213,NA,39.75,30.875,winter
1992-03-18,220,NA,38.5,20.625,winter
1992-03-19,177,20.587663592,33,27.875,winter
1992-03-20,203,NA,36.5,16.5,winter
1992-03-21,176,NA,34.75,9.5625,winter
1992-03-22,174,NA,29.75,28,winter
1992-03-23,178,NA,33.25,18.125,winter
1992-03-24,204,NA,34.5,18.0625,winter
1992-03-25,158,34.989467620599996,39.5,31.625,winter
1992-03-26,206,NA,48.75,47.75,winter
1992-03-27,187,NA,48.5,35.9375,winter
1992-03-28,186,NA,40,20.8125,winter
1992-03-29,194,NA,45.75,19.25,winter
1992-03-30,169,NA,47,28.5,winter
1992-03-31,178,22.856794934,48.75,21.625,winter
1992-04-01,216,NA,44.5,36.875,spring
1992-04-02,192,NA,42.5,25.0625,spring
1992-04-03,191,NA,39.75,17.8125,spring
1992-04-04,197,NA,43.75,25.125,spring
1992-04-05,156,NA,46.5,23.875,spring
1992-04-06,177,16.946471514000002,49.25,17.6875,spring
1992-04-07,191,NA,49,30.75,spring
1992-04-08,210,NA,54.75,29.125,spring
1992-04-09,170,NA,50.5,43.0625,spring
1992-04-10,191,NA,56,43.8125,spring
1992-04-11,179,NA,46,39.9375,spring
1992-04-12,204,20.002098998,48,21.5,spring
1992-04-13,209,NA,40.5,17.8125,spring
1992-04-14,168,NA,45.75,30.9375,spring
1992-04-15,193,NA,46.5,30.0625,spring
1992-04-16,181,NA,43.25,39.6875,spring
1992-04-17,210,NA,44,41.3125,spring
1992-04-18,190,19.429022557,43.75,39.3125,spring
1992-04-19,180,NA,44,42.375,spring
1992-04-20,200,NA,49,50.1875,spring
1992-04-21,193,NA,58,53.3125,spring
1992-04-22,179,NA,58.25,54.3125,spring
1992-04-23,186,NA,64.25,39,spring
1992-04-24,199,35.4344850598,64.5,52.0625,spring
1992-04-25,189,NA,49.75,37.8125,spring
1992-04-26,157,NA,48.25,40.1875,spring
1992-04-27,189,NA,54,41.375,spring
1992-04-28,161,NA,51.75,34.3125,spring
1992-04-29,173,NA,49.5,35.375,spring
1992-04-30,183,23.331716292000003,50.25,40.375,spring
1992-05-01,184,NA,57.75,48.25,spring
1992-05-02,211,NA,69.5,53.625,spring
1992-05-03,213,NA,66,38.125,spring
1992-05-04,181,NA,55.5,35.3125,spring
1992-05-05,202,NA,49.75,35.3125,spring
1992-05-06,180,20.382188976000002,47.75,36.9375,spring
1992-05-07,176,NA,50.75,34.5,spring
1992-05-08,200,NA,51.75,53.4375,spring
1992-05-09,200,NA,57.5,48.125,spring
1992-05-10,178,NA,59,53.375,spring
1992-05-11,185,NA,62.25,42.1875,spring
1992-05-12,191,22.540375518,59.75,54.4375,spring
1992-05-13,171,NA,63,54.5625,spring
1992-05-14,207,NA,65.75,50.5625,spring
1992-05-15,181,NA,59,51.25,spring
1992-05-16,168,NA,54.75,50.75,spring
1992-05-17,166,NA,55.5,46.4375,spring
1992-05-18,199,27.897266639799998,62.25,54.0625,spring
1992-05-19,197,NA,59,38.5625,spring
1992-05-20,151,NA,57.25,36.1875,spring
1992-05-21,228,NA,70.25,37.375,spring
1992-05-22,194,NA,78.25,42.375,spring
1992-05-23,202,NA,75.25,51.125,spring
1992-05-24,184,38.807681724000005,64,45.875,spring
1992-05-25,188,NA,52.5,44.5,spring
1992-05-26,169,NA,52.5,44.5625,spring
1992-05-27,190,NA,55.75,44.875,spring
1992-05-28,176,NA,61,45.3125,spring
1992-05-29,184,NA,61.5,48.3125,spring
1992-05-30,192,21.000148975,59,54.9375,spring
1992-05-31,190,NA,61,59.625,spring
1992-06-01,198,NA,60.75,53.6875,spring
1992-06-02,163,NA,66,55.875,spring
1992-06-03,214,NA,69,54.6875,spring
1992-06-04,206,NA,68.25,57,spring
1992-06-05,184,18.65244857,64.5,63.125,spring
1992-06-06,182,NA,69.5,63.9375,spring
1992-06-07,189,NA,69.5,65.5625,spring
1992-06-08,191,NA,75,68.5625,spring
1992-06-09,194,NA,74,53.3125,spring
1992-06-10,152,NA,70.5,50.25,spring
1992-06-11,165,20.804194789,70,52.4375,spring
1992-06-12,192,NA,70.5,56.3125,spring
1992-06-13,205,NA,75,53.8125,spring
1992-06-14,173,NA,73.25,58.75,spring
1992-06-15,174,NA,73.5,54.75,spring
1992-06-16,164,NA,68.75,54.4375,spring
1992-06-17,176,29.784852670899998,70.75,52.366071429,spring
1992-06-18,189,NA,67.25,58.5,spring
1992-06-19,159,NA,67.75,65.25,spring
1992-06-20,196,NA,70.75,61.25,spring
1992-06-21,190,NA,67.75,50.3125,spring
1992-06-22,167,NA,59.25,40.75,spring
1992-06-23,190,24.276371003,64.25,51.4375,spring
1992-06-24,166,NA,67.5,62,spring
1992-06-25,197,NA,71,55.8125,spring
1992-06-26,173,NA,69.5,60.25,spring
1992-06-27,172,NA,70.75,59.375,spring
1992-06-28,178,NA,73.5,56.4375,spring
1992-06-29,174,40.427592694,74.25,58.0625,spring
1992-06-30,184,NA,73.75,65.125,spring
1992-07-01,190,NA,78.5,64.625,summer
1992-07-02,180,NA,69.5,51.0625,summer
1992-07-03,157,NA,66.75,60.1875,summer
1992-07-04,184,NA,71.75,64.5,summer
1992-07-05,182,40.165683931,71,62.5,summer
1992-07-06,165,NA,73,56.5625,summer
1992-07-07,188,NA,72.75,57.8125,summer
1992-07-08,158,NA,73.25,60.875,summer
1992-07-09,185,NA,79.5,60.8125,summer
1992-07-10,163,NA,82,64.5625,summer
1992-07-11,184,29.0652913291,81.5,59.6875,summer
1992-07-12,200,NA,76.5,68.75,summer
1992-07-13,197,NA,83.25,62.0625,summer
1992-07-14,187,NA,81.75,67.75,summer
1992-07-15,185,NA,78,67.625,summer
1992-07-16,168,NA,70.25,61.5625,summer
1992-07-17,161,21.110470739,70.25,69.375,summer
1992-07-18,178,NA,78,68.125,summer
1992-07-19,184,NA,78.5,68.5,summer
1992-07-20,170,NA,78.5,68.3125,summer
1992-07-21,182,NA,80.25,61.75,summer
1992-07-22,175,NA,72,60.5,summer
1992-07-23,160,21.108251349,65.5,58.3125,summer
1992-07-24,151,NA,64.25,55.4375,summer
1992-07-25,185,NA,68.25,57.5,summer
1992-07-26,192,NA,70,67.75,summer
1992-07-27,189,NA,77,68.9375,summer
1992-07-28,180,NA,72.5,54.25,summer
1992-07-29,177,33.2471005388,75.25,64.0625,summer
1992-07-30,181,NA,75.75,62.25,summer
1992-07-31,174,NA,72.25,70.5,summer
1992-08-01,156,NA,73,50.1875,summer
1992-08-02,170,NA,73.5,58,summer
1992-08-03,167,NA,74.5,67.5,summer
1992-08-04,179,28.7333432656,76,58.5,summer
1992-08-05,208,NA,72,51.875,summer
1992-08-06,172,NA,72.75,53.9375,summer
1992-08-07,180,NA,72.75,55.4375,summer
1992-08-08,169,NA,70.5,65.25,summer
1992-08-09,170,NA,76.75,68.5,summer
1992-08-10,201,35.591996237000004,75.25,67.875,summer
1992-08-11,174,NA,79.5,69.75,summer
1992-08-12,188,NA,75.25,53,summer
1992-08-13,159,NA,70.25,64.75,summer
1992-08-14,185,NA,66.75,58.625,summer
1992-08-15,162,NA,64.5,61,summer
1992-08-16,153,11.113863848,64,65.25,summer
1992-08-17,191,NA,67.75,67.75,summer
1992-08-18,171,NA,73.25,67.9375,summer
1992-08-19,174,NA,75,58.9375,summer
1992-08-20,155,NA,70.5,49.9375,summer
1992-08-21,176,NA,67.25,55.0625,summer
1992-08-22,171,26.6436089357,72,59,summer
1992-08-23,197,NA,73.5,58.75,summer
